treatment_1	treatment_2	genus	species	log2_median_ratio	median_diff	mean_diff	wilcox_p_value
COVID_19	Uninfected	Novosphingobium	Novosphingobium resinovorum	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Novosphingobium	Novosphingobium sp. PP1Y	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Oceanicola	Oceanicola sp. D3	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Community_acquired_pneumonia	Oceanicola	Oceanicola sp. D3	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Uninfected	Oceanicola	Oceanicola sp. D3	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Ochrobactrum	Ochrobactrum anthropi	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Ochrobactrum	Ochrobactrum anthropi	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Community_acquired_pneumonia	Ochrobactrum	Ochrobactrum anthropi	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Ochrobactrum	Ochrobactrum anthropi	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Uninfected	Oligotropha	Oligotropha carboxidovorans	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Community_acquired_pneumonia	Oligotropha	Oligotropha carboxidovorans	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Uninfected	Orientia	Orientia tsutsugamushi	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Community_acquired_pneumonia	Orientia	Orientia tsutsugamushi	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Uninfected	Orientia	Orientia tsutsugamushi	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Paracoccus	Paracoccus aminovorans	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Uninfected	Paracoccus	Paracoccus kondratievae	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Uninfected	Paracoccus	Paracoccus liaowanqingii	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Uninfected	Paracoccus	Paracoccus sp. Arc7-R13	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Community_acquired_pneumonia	Paracoccus	Paracoccus aminovorans	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Community_acquired_pneumonia	Paracoccus	Paracoccus kondratievae	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Community_acquired_pneumonia	Paracoccus	Paracoccus liaowanqingii	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Community_acquired_pneumonia	Paracoccus	Paracoccus sp. Arc7-R13	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Uninfected	Paracoccus	Paracoccus aminovorans	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Paracoccus	Paracoccus kondratievae	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Paracoccus	Paracoccus liaowanqingii	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Paracoccus	Paracoccus sp. Arc7-R13	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Phaeobacter	Phaeobacter gallaeciensis	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Uninfected	Phaeobacter	Phaeobacter inhibens	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Community_acquired_pneumonia	Phaeobacter	Phaeobacter gallaeciensis	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Community_acquired_pneumonia	Phaeobacter	Phaeobacter inhibens	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Uninfected	Phaeobacter	Phaeobacter gallaeciensis	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Phaeobacter	Phaeobacter inhibens	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Phyllobacterium	Phyllobacterium zundukense	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Community_acquired_pneumonia	Phyllobacterium	Phyllobacterium zundukense	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Uninfected	Porphyrobacter	Porphyrobacter sp. YT40	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Community_acquired_pneumonia	Porphyrobacter	Porphyrobacter sp. YT40	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Uninfected	Porphyrobacter	Porphyrobacter sp. YT40	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Pseudolabrys	Pseudolabrys taiwanensis	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Community_acquired_pneumonia	Pseudolabrys	Pseudolabrys taiwanensis	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Uninfected	Pseudorhodobacter	Pseudorhodobacter sp. S12M18	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Community_acquired_pneumonia	Pseudorhodobacter	Pseudorhodobacter sp. S12M18	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Uninfected	Pseudorhodobacter	Pseudorhodobacter sp. S12M18	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Rhizobium	Rhizobium sp. NXC24	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Rhizobium	Rhizobium tropici	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Community_acquired_pneumonia	Rhizobium	Rhizobium sp. NXC24	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Rhizobium	Rhizobium tropici	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Uninfected	Rhodobacter	Rhodobacter sphaeroides	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Community_acquired_pneumonia	Rhodobacter	Rhodobacter sphaeroides	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Uninfected	Rhodobacter	Rhodobacter sphaeroides	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Rhodomicrobium	Rhodomicrobium vannielii	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Community_acquired_pneumonia	Rhodomicrobium	Rhodomicrobium vannielii	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Uninfected	Rhodoplanes	Rhodoplanes sp. Z2-YC6860	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Community_acquired_pneumonia	Rhodoplanes	Rhodoplanes sp. Z2-YC6860	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Uninfected	Rhodopseudomonas	Rhodopseudomonas palustris	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Rhodopseudomonas	Rhodopseudomonas palustris	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Rhodopseudomonas	Rhodopseudomonas palustris	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Community_acquired_pneumonia	Rhodopseudomonas	Rhodopseudomonas palustris	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Rhodopseudomonas	Rhodopseudomonas palustris	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Rhodopseudomonas	Rhodopseudomonas palustris	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Uninfected	Rhodospirillum	Rhodospirillum rubrum	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Community_acquired_pneumonia	Rhodospirillum	Rhodospirillum rubrum	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Uninfected	Rhodospirillum	Rhodospirillum rubrum	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Rickettsia	Rickettsia amblyommatis	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Community_acquired_pneumonia	Rickettsia	Rickettsia amblyommatis	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Uninfected	Rickettsia	Rickettsia amblyommatis	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Ruegeria	Ruegeria pomeroyi	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Community_acquired_pneumonia	Ruegeria	Ruegeria pomeroyi	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Uninfected	Ruegeria	Ruegeria pomeroyi	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Schaalia	Schaalia meyeri	5.183768992	0.002548082	0.012674954	7.82E-06
COVID_19	Uninfected	Schaalia	Schaalia odontolytica	5.183768992	0.002548082	0.012674954	7.82E-06
COVID_19	Uninfected	Sinorhizobium	Sinorhizobium medicae	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Sinorhizobium	Sinorhizobium sp. RAC02	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Community_acquired_pneumonia	Sinorhizobium	Sinorhizobium medicae	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Community_acquired_pneumonia	Sinorhizobium	Sinorhizobium sp. RAC02	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Uninfected	Sphingobium	Sphingobium baderi	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Uninfected	Sphingobium	Sphingobium cloacae	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Uninfected	Sphingobium	Sphingobium sp. EP60837	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Uninfected	Sphingobium	Sphingobium sp. PAMC28499	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Uninfected	Sphingobium	Sphingobium sp. YG1	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Community_acquired_pneumonia	Sphingobium	Sphingobium baderi	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Community_acquired_pneumonia	Sphingobium	Sphingobium cloacae	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Community_acquired_pneumonia	Sphingobium	Sphingobium sp. EP60837	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Community_acquired_pneumonia	Sphingobium	Sphingobium sp. PAMC28499	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Community_acquired_pneumonia	Sphingobium	Sphingobium sp. YG1	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Uninfected	Sphingobium	Sphingobium baderi	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Sphingobium	Sphingobium cloacae	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Sphingobium	Sphingobium sp. EP60837	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Sphingobium	Sphingobium sp. PAMC28499	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Sphingobium	Sphingobium sp. YG1	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Sphingomonas	Sphingomonas ginsengisoli An et al. 2013	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Uninfected	Sphingomonas	Sphingomonas hengshuiensis	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Uninfected	Sphingomonas	Sphingomonas insulae	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Uninfected	Sphingomonas	Sphingomonas sp. AAP5	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Uninfected	Sphingomonas	Sphingomonas sp. C33	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Uninfected	Sphingomonas	Sphingomonas sp. C8-2	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Uninfected	Sphingomonas	Sphingomonas sp. Cra20	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Uninfected	Sphingomonas	Sphingomonas sp. FARSPH	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Uninfected	Sphingomonas	Sphingomonas sp. HKS19	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Uninfected	Sphingomonas	Sphingomonas sp. LK11	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Uninfected	Sphingomonas	Sphingomonas sp. LM7	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Uninfected	Sphingomonas	Sphingomonas sp. LMO-1	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Uninfected	Sphingomonas	Sphingomonas sp. MM-1	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Uninfected	Sphingomonas	Sphingomonas sp. PAMC26645	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Uninfected	Sphingomonas	Sphingomonas sp. YZ-8	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Community_acquired_pneumonia	Sphingomonas	Sphingomonas ginsengisoli An et al. 2013	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Community_acquired_pneumonia	Sphingomonas	Sphingomonas hengshuiensis	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Community_acquired_pneumonia	Sphingomonas	Sphingomonas insulae	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Community_acquired_pneumonia	Sphingomonas	Sphingomonas sp. AAP5	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Community_acquired_pneumonia	Sphingomonas	Sphingomonas sp. C33	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Community_acquired_pneumonia	Sphingomonas	Sphingomonas sp. C8-2	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Community_acquired_pneumonia	Sphingomonas	Sphingomonas sp. Cra20	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Community_acquired_pneumonia	Sphingomonas	Sphingomonas sp. FARSPH	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Community_acquired_pneumonia	Sphingomonas	Sphingomonas sp. HKS19	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Community_acquired_pneumonia	Sphingomonas	Sphingomonas sp. LK11	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Community_acquired_pneumonia	Sphingomonas	Sphingomonas sp. LM7	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Community_acquired_pneumonia	Sphingomonas	Sphingomonas sp. LMO-1	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Community_acquired_pneumonia	Sphingomonas	Sphingomonas sp. MM-1	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Community_acquired_pneumonia	Sphingomonas	Sphingomonas sp. PAMC26645	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Community_acquired_pneumonia	Sphingomonas	Sphingomonas sp. YZ-8	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Uninfected	Sphingomonas	Sphingomonas ginsengisoli An et al. 2013	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Sphingomonas	Sphingomonas hengshuiensis	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Sphingomonas	Sphingomonas insulae	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Sphingomonas	Sphingomonas sp. AAP5	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Sphingomonas	Sphingomonas sp. C33	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Sphingomonas	Sphingomonas sp. C8-2	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Sphingomonas	Sphingomonas sp. Cra20	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Sphingomonas	Sphingomonas sp. FARSPH	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Sphingomonas	Sphingomonas sp. HKS19	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Sphingomonas	Sphingomonas sp. LK11	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Sphingomonas	Sphingomonas sp. LM7	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Sphingomonas	Sphingomonas sp. LMO-1	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Sphingomonas	Sphingomonas sp. MM-1	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Sphingomonas	Sphingomonas sp. PAMC26645	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Sphingomonas	Sphingomonas sp. YZ-8	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Sphingopyxis	Sphingopyxis sp. 113P3	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Uninfected	Sphingopyxis	Sphingopyxis sp. EG6	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Uninfected	Sphingopyxis	Sphingopyxis sp. FD7	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Community_acquired_pneumonia	Sphingopyxis	Sphingopyxis sp. 113P3	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Community_acquired_pneumonia	Sphingopyxis	Sphingopyxis sp. EG6	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Community_acquired_pneumonia	Sphingopyxis	Sphingopyxis sp. FD7	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Uninfected	Sphingopyxis	Sphingopyxis sp. 113P3	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Sphingopyxis	Sphingopyxis sp. EG6	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Sphingopyxis	Sphingopyxis sp. FD7	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Sphingosinicella	Sphingosinicella sp. BN140058	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Community_acquired_pneumonia	Sphingosinicella	Sphingosinicella sp. BN140058	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Uninfected	Sphingosinicella	Sphingosinicella sp. BN140058	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Sphingosinithalassobacter	Sphingosinithalassobacter sp. zrk23	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Community_acquired_pneumonia	Sphingosinithalassobacter	Sphingosinithalassobacter sp. zrk23	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Uninfected	Sphingosinithalassobacter	Sphingosinithalassobacter sp. zrk23	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Starkeya	Starkeya novella	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Community_acquired_pneumonia	Starkeya	Starkeya novella	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Uninfected	Tardibacter	Tardibacter chloracetimidivorans	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Community_acquired_pneumonia	Tardibacter	Tardibacter chloracetimidivorans	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Uninfected	Tardibacter	Tardibacter chloracetimidivorans	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Thalassospira	Thalassospira marina	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Community_acquired_pneumonia	Thalassospira	Thalassospira marina	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Uninfected	Thalassospira	Thalassospira marina	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Thauera	Thauera sp. K11	3.507662226	0.000130325	0.000348821	0.000930141
COVID_19	Uninfected	Thermobifida	Thermobifida fusca	1.764939362	1.06E-05	3.86E-05	0.024348267
COVID_19	Uninfected	Tolumonas	Tolumonas auensis	2.795442226	0.000136481	0.000181253	0.002709644
COVID_19	Uninfected	Veillonella	Veillonella atypica	3.639369584	0.003267157	0.040631146	0.002999146
COVID_19	Uninfected	Veillonella	Veillonella dispar	3.639369584	0.003267157	0.040631146	0.002999146
COVID_19	Uninfected	Veillonella	Veillonella parvula	3.639369584	0.003267157	0.040631146	0.002999146
COVID_19	Uninfected	Veillonella	Veillonella parvula	3.639369584	0.003267157	0.040631146	0.002999146
COVID_19	Uninfected	Veillonella	Veillonella rodentium	3.639369584	0.003267157	0.040631146	0.002999146
COVID_19	Uninfected	Yangia	Yangia sp. CCB-MM3	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Community_acquired_pneumonia	Yangia	Yangia sp. CCB-MM3	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Uninfected	Yangia	Yangia sp. CCB-MM3	-1.214104314	-0.009181107	-0.032340368	0.000134444
