tax_id	Kingdom	Phylum	Class	Order	Family	Genus	Species
225	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Phyllobacteriaceae	g__Phyllobacterium	s__Phyllobacterium_myrsinacearum
226	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales			
227	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae		
228	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	
229	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__Sphingomonas_adhaesiva
230	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__Sphingomonas_ginsenosidimutans
231	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__Sphingomonas_paucimobilis
232	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria				
233	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales			
234	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae		
235	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__Achromobacter	
236	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__Achromobacter	s__Achromobacter_xylosoxidans
237	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae		
238	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Ralstonia	
239	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Ralstonia	s__Ralstonia_pickettii
240	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Ralstonia	s__Ralstonia_sp_MD27
241	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae		
242	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Comamonas	
243	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Comamonas	s__Comamonas_terrigena
244	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Delftia	
245	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Delftia	s__Delftia_acidovorans
246	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Delftia	s__Delftia_tsuruhatensis
247	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Pelomonas	
248	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Pelomonas	s__Pelomonas_puraquae
249	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Variovorax	
250	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Variovorax	s__Variovorax_paradoxus
251	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae		
252	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Herbaspirillum	
253	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Herbaspirillum	s__Herbaspirillum_sp
254	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales			
255	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae		
256	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	g__Neisseria	
257	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	g__Neisseria	s__Neisseria_sicca
258	k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria				
259	k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	o__Campylobacterales			
260	k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	o__Campylobacterales	f__Campylobacteraceae		
261	k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter	
262	k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter	s__Campylobacter_concisus
263	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria				
264	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales			
265	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae		
266	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	
267	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter_braakii
268	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	
269	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter_cloacae_complex
270	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	
271	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia_coli
272	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	
273	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella_aerogenes
274	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella_pneumoniae
275	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella_quasipneumoniae
276	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella_variicola
277	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae		
278	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Erwinia	
279	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Erwinia	s__Erwinia_persicina
280	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae		
281	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Proteus	
282	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Proteus	s__Proteus_mirabilis
283	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales			
284	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae		
285	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	g__Haemophilus	
286	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	g__Haemophilus	s__Haemophilus_influenzae
287	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales			
288	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae		
289	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	
290	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter_baumannii
291	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter_guillouiae
292	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter_radioresistens
293	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Moraxella	
294	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Moraxella	s__Moraxella_osloensis
295	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae		
296	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	
297	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas_aeruginosa_group
298	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas_putida_group
299	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales			
300	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae		
301	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Stenotrophomonas	
302	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Stenotrophomonas	s__Stenotrophomonas_maltophilia
303	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Stenotrophomonas	s__Stenotrophomonas_rhizophila
304	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Xanthomonadaceae_unclassified	
305	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Xanthomonadaceae_unclassified	s__Pseudomonas_geniculata
306	k__Bacteria	p__Tenericutes					
307	k__Bacteria	p__Tenericutes	c__Mollicutes				
308	k__Bacteria	p__Tenericutes	c__Mollicutes	o__Mycoplasmatales			
309	k__Bacteria	p__Tenericutes	c__Mollicutes	o__Mycoplasmatales	f__Mycoplasmataceae		
310	k__Bacteria	p__Tenericutes	c__Mollicutes	o__Mycoplasmatales	f__Mycoplasmataceae	g__Mycoplasma	
311	k__Bacteria	p__Tenericutes	c__Mollicutes	o__Mycoplasmatales	f__Mycoplasmataceae	g__Mycoplasma	s__Mycoplasma_hyorhinis
312	k__Eukaryota						
313	k__Eukaryota	p__Ascomycota					
314	k__Eukaryota	p__Ascomycota	c__Saccharomycetes				
315	k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales			
316	k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae		
317	k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	g__Candida	
318	k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	g__Candida	s__Candida_albicans
319	k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae		
320	k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Saccharomyces	
321	k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Saccharomyces	s__Saccharomyces_cerevisiae
322	k__Viruses						
323	k__Viruses	p__Negarnaviricota					
324	k__Viruses	p__Negarnaviricota	c__Insthoviricetes				
325	k__Viruses	p__Negarnaviricota	c__Insthoviricetes	o__Articulavirales			
326	k__Viruses	p__Negarnaviricota	c__Insthoviricetes	o__Articulavirales	f__Orthomyxoviridae		
327	k__Viruses	p__Negarnaviricota	c__Insthoviricetes	o__Articulavirales	f__Orthomyxoviridae	g__Alphainfluenzavirus	
328	k__Viruses	p__Negarnaviricota	c__Insthoviricetes	o__Articulavirales	f__Orthomyxoviridae	g__Alphainfluenzavirus	s__Influenza_A_virus
329	k__Viruses	p__Negarnaviricota	c__Insthoviricetes	o__Articulavirales	f__Orthomyxoviridae	g__Betainfluenzavirus	
330	k__Viruses	p__Negarnaviricota	c__Insthoviricetes	o__Articulavirales	f__Orthomyxoviridae	g__Betainfluenzavirus	s__Influenza_B_virus
331	k__Viruses	p__Negarnaviricota	c__Monjiviricetes				
332	k__Viruses	p__Negarnaviricota	c__Monjiviricetes	o__Mononegavirales			
333	k__Viruses	p__Negarnaviricota	c__Monjiviricetes	o__Mononegavirales	f__Paramyxoviridae		
334	k__Viruses	p__Negarnaviricota	c__Monjiviricetes	o__Mononegavirales	f__Paramyxoviridae	g__Henipavirus	
335	k__Viruses	p__Negarnaviricota	c__Monjiviricetes	o__Mononegavirales	f__Paramyxoviridae	g__Henipavirus	s__Nipah_henipavirus
336	k__Viruses	p__Negarnaviricota	c__Monjiviricetes	o__Mononegavirales	f__Paramyxoviridae	g__Morbillivirus	
337	k__Viruses	p__Negarnaviricota	c__Monjiviricetes	o__Mononegavirales	f__Paramyxoviridae	g__Morbillivirus	s__Measles_morbillivirus
338	k__Viruses	p__Negarnaviricota	c__Monjiviricetes	o__Mononegavirales	f__Paramyxoviridae	g__Respirovirus	
339	k__Viruses	p__Negarnaviricota	c__Monjiviricetes	o__Mononegavirales	f__Paramyxoviridae	g__Respirovirus	s__Bovine_respirovirus_3
340	k__Viruses	p__Negarnaviricota	c__Monjiviricetes	o__Mononegavirales	f__Paramyxoviridae	g__Respirovirus	s__Human_respirovirus_3
341	k__Viruses	p__Negarnaviricota	c__Monjiviricetes	o__Mononegavirales	f__Paramyxoviridae	g__Rubulavirus	
342	k__Viruses	p__Negarnaviricota	c__Monjiviricetes	o__Mononegavirales	f__Paramyxoviridae	g__Rubulavirus	s__Mammalian_rubulavirus_5
343	k__Viruses	p__Negarnaviricota	c__Monjiviricetes	o__Mononegavirales	f__Pneumoviridae		
344	k__Viruses	p__Negarnaviricota	c__Monjiviricetes	o__Mononegavirales	f__Pneumoviridae	g__Orthopneumovirus	
345	k__Viruses	p__Negarnaviricota	c__Monjiviricetes	o__Mononegavirales	f__Pneumoviridae	g__Orthopneumovirus	s__Bovine_orthopneumovirus
346	k__Viruses	p__Negarnaviricota	c__Monjiviricetes	o__Mononegavirales	f__Pneumoviridae	g__Orthopneumovirus	s__Human_orthopneumovirus
347	k__Viruses	p__Negarnaviricota	c__Monjiviricetes	o__Mononegavirales	f__Pneumoviridae	g__Orthopneumovirus	s__Murine_orthopneumovirus
348	k__Viruses	p__Negarnaviricota	c__Monjiviricetes	o__Mononegavirales	f__Pneumoviridae	g__Pneumoviridae_unclassified	
349	k__Viruses	p__Negarnaviricota	c__Monjiviricetes	o__Mononegavirales	f__Pneumoviridae	g__Pneumoviridae_unclassified	s__Respiratory_syncytial_virus
350	k__Viruses	p__Viruses_unclassified					
351	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified				
352	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Caudovirales_unclassified		
353	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Caudovirales_unclassified	g__Caudovirales_unclassified	
354	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Caudovirales_unclassified	g__Caudovirales_unclassified	s__Enterobacteria_phage_P4
355	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Myoviridae	g__Ap22virus	
356	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Myoviridae	g__Ap22virus	s__Acinetobacter_virus_AP22
357	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Myoviridae	g__Cd119virus	
358	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Myoviridae	g__Cd119virus	s__Clostridium_virus_phiC2
359	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Myoviridae	g__Elvirus	
360	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Myoviridae	g__Elvirus	s__Pseudomonas_virus_EL
361	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Myoviridae	g__Hp1virus	
362	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Myoviridae	g__Hp1virus	s__Aeromonas_virus_phiO18P
363	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Myoviridae	g__Myoviridae_unclassified	
364	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Myoviridae	g__Myoviridae_unclassified	s__Aeromonas_phage_vB_AsaM_56
365	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Myoviridae	g__Myoviridae_unclassified	s__Burkholderia_phage_KS10
366	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Myoviridae	g__Myoviridae_unclassified	s__Clostridium_phage_phiMMP04
367	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Myoviridae	g__Myoviridae_unclassified	s__Lactobacillus_prophage_Lj771
368	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Myoviridae	g__P1virus	
369	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Myoviridae	g__P1virus	s__Escherichia_virus_P1
370	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Myoviridae	g__P2virus	
371	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Myoviridae	g__P2virus	s__Pseudomonas_virus_phiCTX
372	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Podoviridae		
373	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Podoviridae	g__Epsilon15virus	
374	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Podoviridae	g__Epsilon15virus	s__Escherichia_virus_phiV10
375	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Podoviridae	g__P22virus	
376	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Podoviridae	g__P22virus	s__Salmonella_phage_g341c
377	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Podoviridae	g__Podoviridae_unclassified	
378	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Podoviridae	g__Podoviridae_unclassified	s__Enterococcus_phage_EF62phi
379	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Siphoviridae		
380	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Siphoviridae	g__C2virus	
381	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Siphoviridae	g__C2virus	s__Lactococcus_virus_bIL67
382	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Siphoviridae	g__Phietavirus	
383	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Siphoviridae	g__Phietavirus	s__Staphylococcus_virus_EW
384	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Siphoviridae	g__Phietavirus	s__Staphylococcus_virus_PH15
385	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Siphoviridae	g__Siphoviridae_unclassified	
386	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Siphoviridae	g__Siphoviridae_unclassified	s__Enterobacteria_phage_ES18
387	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Siphoviridae	g__Siphoviridae_unclassified	s__Enterobacteria_phage_mEp460
388	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Siphoviridae	g__Siphoviridae_unclassified	s__Escherichia_phage_HK639
389	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Siphoviridae	g__Siphoviridae_unclassified	s__Lactobacillus_phage_phig1e
390	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Siphoviridae	g__Siphoviridae_unclassified	s__Microbacterium_phage_Min1
391	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Siphoviridae	g__Siphoviridae_unclassified	s__Stenotrophomonas_phage_S1
392	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Siphoviridae	g__Siphoviridae_unclassified	s__Streptococcus_phage_PH10
393	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Siphoviridae	g__Siphoviridae_unclassified	s__Streptococcus_phage_SM1
394	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Siphoviridae	g__Siphoviridae_unclassified	s__Stx2_converting_phage_1717
395	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Caudovirales	f__Siphoviridae	g__Siphoviridae_unclassified	s__Yersinia_phage_PY54
396	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Herpesvirales			
397	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Herpesvirales	f__Alloherpesviridae		
398	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Herpesvirales	f__Alloherpesviridae	g__Cyprinivirus	
399	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Herpesvirales	f__Alloherpesviridae	g__Cyprinivirus	s__Anguillid_herpesvirus_1
400	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Herpesvirales	f__Alloherpesviridae	g__Cyprinivirus	s__Cyprinid_herpesvirus_3
401	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Herpesvirales	f__Herpesviridae		
402	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Herpesvirales	f__Herpesviridae	g__Cytomegalovirus	
403	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Herpesvirales	f__Herpesviridae	g__Cytomegalovirus	s__Human_betaherpesvirus_5
404	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Herpesvirales	f__Herpesviridae	g__Lymphocryptovirus	
405	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Herpesvirales	f__Herpesviridae	g__Lymphocryptovirus	s__Callitrichine_gammaherpesvirus_3
406	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Herpesvirales	f__Herpesviridae	g__Lymphocryptovirus	s__Human_gammaherpesvirus_4
407	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Herpesvirales	f__Herpesviridae	g__Macavirus	
408	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Herpesvirales	f__Herpesviridae	g__Macavirus	s__Alcelaphine_gammaherpesvirus_1
409	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Herpesvirales	f__Herpesviridae	g__Rhadinovirus	
410	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Herpesvirales	f__Herpesviridae	g__Rhadinovirus	s__Ateline_gammaherpesvirus_3
411	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Herpesvirales	f__Herpesviridae	g__Roseolovirus	
412	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Herpesvirales	f__Herpesviridae	g__Roseolovirus	s__Human_betaherpesvirus_7
413	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Herpesvirales	f__Herpesviridae	g__Simplexvirus	
414	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Herpesvirales	f__Herpesviridae	g__Simplexvirus	s__Human_alphaherpesvirus_1
415	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Herpesvirales	f__Herpesviridae	g__Simplexvirus	s__Human_alphaherpesvirus_2
416	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Herpesvirales	f__Herpesviridae	g__Varicellovirus	
417	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Herpesvirales	f__Herpesviridae	g__Varicellovirus	s__Human_alphaherpesvirus_3
418	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Nidovirales			
419	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Nidovirales	f__Coronaviridae		
420	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Nidovirales	f__Coronaviridae	g__Coronaviridae_unclassified	
421	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Nidovirales	f__Coronaviridae	g__Coronaviridae_unclassified	s__Bat_coronavirus_BM48_31_BGR_2008
422	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Ortervirales			
423	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Ortervirales	f__Retroviridae		
424	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Ortervirales	f__Retroviridae	g__Alpharetrovirus	
425	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Ortervirales	f__Retroviridae	g__Alpharetrovirus	s__Avian_myelocytomatosis_virus
426	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Ortervirales	f__Retroviridae	g__Gammaretrovirus	
427	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Ortervirales	f__Retroviridae	g__Gammaretrovirus	s__Murine_osteosarcoma_virus
428	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Ortervirales	f__Retroviridae	g__Lentivirus	
429	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Ortervirales	f__Retroviridae	g__Lentivirus	s__Equine_infectious_anemia_virus
430	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Ortervirales	f__Retroviridae	g__Lentivirus	s__Human_immunodeficiency_virus_1
431	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Ortervirales	f__Retroviridae	g__Retroviridae_unclassified	
432	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Ortervirales	f__Retroviridae	g__Retroviridae_unclassified	s__Avian_endogenous_retrovirus_EAV_HP
433	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Picornavirales			
434	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Picornavirales	f__Picornaviridae		
435	k__Viruses	p__Viruses_unclassified	c__Viruses_unclassified	o__Picornavirales	f__Picornaviridae	g__Enterovirus	
