taxid	domain	phylum	class	order	family	genus	species	CRR119890_read_counts	CRR119890_perc_of_reads	CRR119891_read_counts	CRR119891_perc_of_reads	CRR119892_read_counts	CRR119892_perc_of_reads	CRR119893_read_counts	CRR119893_perc_of_reads	CRR125445_read_counts	CRR125445_perc_of_reads	CRR125446_read_counts	CRR125446_perc_of_reads
36805	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium aurum	0	0	3	0.000146195	7	0.000338943	7	0.000391993	7	0.000645471	8	0.00054639
36809	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides abscessus	1	4.86E-05	0	0	0	0	4	0.000223996	1	9.22E-05	1	6.83E-05
36813	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium pulveris	13	0.000632115	3	0.000146195	9	0.000435784	6	0.000335994	2	0.00018442	10	0.000682987
36818	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces subrutilus	6	0.000291745	6	0.00029239	3	0.000145261	13	0.000727987	1	9.22E-05	11	0.000751286
36831	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum	0	0	0	0	1	4.84E-05	0	0	0	0	0	0
36855	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	Brucella canis	1	4.86E-05	0	0	0	0	0	0	0	0	0	0
36870	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Wigglesworthia	Wigglesworthia glossinidia	14	0.000680739	17	0.000828438	12	0.000581045	22	0.001231979	12	0.001106522	7	0.000478091
36874	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas cangingivalis	0	0	0	0	0	0	0	0	1	9.22E-05	4	0.000273195
37296	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Rhadinovirus	Human gammaherpesvirus 8	0	0	0	0	0	0	0	0	2	0.00018442	0	0
37326	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia brasiliensis	9	0.000437618	12	0.00058478	8	0.000387363	22	0.001231979	8	0.000737681	6	0.000409792
37329	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia farcinica	14	0.000680739	8	0.000389853	8	0.000387363	13	0.000727987	4	0.000368841	7	0.000478091
37332	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia seriolae	3	0.000145873	3	0.000146195	3	0.000145261	2	0.000111998	1	9.22E-05	1	6.83E-05
37372	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter bilis	0	0	1	4.87E-05	0	0	1	5.60E-05	2	0.00018442	3	0.000204896
37482	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Laceyella	Laceyella sacchari	2	9.72E-05	8	0.000389853	4	0.000193682	4	0.000223996	16	0.001475363	15	0.001024481
37616	Eukaryota	Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Leishmania	NA	121	0.005883529	137	0.006676238	105	0.005084143	185	0.010359822	29	0.002674095	65	0.004439418
37665	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Phaeovirus	Ectocarpus siliculosus virus 1	0	0	0	0	0	0	7	0.000391993	0	0	1	6.83E-05
37692	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Candidatus Phytoplasma	Candidatus Phytoplasma mali	7	0.000340369	5	0.000243658	4	0.000193682	8	0.000447992	11	0.001014312	15	0.001024481
37734	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus casseliflavus	0	0	5	0.000243658	0	0	0	0	1	9.22E-05	3	0.000204896
37914	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Dietziaceae	Dietzia	NA	0	0	0	0	0	0	0	0	0	0	1	6.83E-05
37919	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus opacus	5	0.000243121	2	9.75E-05	2	9.68E-05	2	0.000111998	4	0.000368841	4	0.000273195
37927	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Sinomonas	Sinomonas atrocyanea	6	0.000291745	25	0.001218292	22	0.001065249	22	0.001231979	1	9.22E-05	11	0.000751286
37928	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter crystallopoietes	0	0	1	4.87E-05	0	0	1	5.60E-05	1	9.22E-05	0	0
37929	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Glutamicibacter	Glutamicibacter nicotianae	0	0	0	0	0	0	1	5.60E-05	0	0	0	0
38289	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium jeikeium	0	0	0	0	0	0	0	0	0	0	1	6.83E-05
38293	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium	Photobacterium damselae	2	9.72E-05	1	4.87E-05	2	9.68E-05	3	0.000167997	0	0	1	6.83E-05
38294	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium	Photobacterium damselae	8	0.000388994	32	0.001559413	8	0.000387363	7	0.000391993	6	0.000553261	1	6.83E-05
38300	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces pristinaespiralis	17	0.000826611	32	0.001559413	28	0.001355771	90	0.005039913	0	0	5	0.000341494
38301	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium minutissimum	0	0	2	9.75E-05	1	4.84E-05	0	0	9	0.000829892	10	0.000682987
38302	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium mycetoides	1	4.86E-05	1	4.87E-05	0	0	0	0	1	9.22E-05	1	6.83E-05
38310	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus coprophilus	0	0	0	0	0	0	0	0	0	0	1	6.83E-05
38313	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella algae	0	0	0	0	1	4.84E-05	1	5.60E-05	0	0	0	0
38323	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bartonellaceae	Bartonella	Bartonella henselae	0	0	1	4.87E-05	0	0	1	5.60E-05	0	0	1	6.83E-05
38504	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Ureaplasma	Ureaplasma parvum	0	0	1	4.87E-05	1	4.84E-05	0	0	2	0.00018442	1	6.83E-05
38568	Eukaryota	Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Leishmania	NA	91	0.004424802	68	0.003313753	120	0.005810449	75	0.004199928	13	0.001198732	7	0.000478091
38574	Eukaryota	Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Leishmania	NA	56	0.002722955	85	0.004142191	86	0.004164155	93	0.00520791	61	0.005624821	99	0.006761575
39152	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis	0	0	2	9.75E-05	0	0	0	0	1	9.22E-05	0	0
39488	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerobutyricum	Anaerobutyricum hallii	1	4.86E-05	1	4.87E-05	2	9.68E-05	0	0	3	0.000276631	2	0.000136597
39664	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanohalophilus	Methanohalophilus portucalensis	0	0	0	0	0	0	1	5.60E-05	0	0	0	0
39688	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium duvalii	0	0	1	4.87E-05	0	0	3	0.000167997	0	0	0	0
39689	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium gallinarum	1	4.86E-05	0	0	3	0.000145261	1	5.60E-05	1	9.22E-05	2	0.000136597
39691	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium moriokaense	9	0.000437618	4	0.000194927	22	0.001065249	31	0.00173597	2	0.00018442	3	0.000204896
39692	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium parafortuitum	0	0	0	0	3	0.000145261	0	0	0	0	0	0
39694	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium poriferae	1	4.86E-05	0	0	0	0	1	5.60E-05	0	0	0	0
39695	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium tokaiense	7	0.000340369	1	4.87E-05	1	4.84E-05	1	5.60E-05	0	0	4	0.000273195
39765	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Hydrogenovibrio	Hydrogenovibrio crunogenus	4	0.000194497	0	0	3	0.000145261	2	0.000111998	3	0.000276631	2	0.000136597
39773	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomicrobium	NA	0	0	0	0	0	0	0	0	2	0.00018442	3	0.000204896
39777	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella atypica	1	4.86E-05	0	0	0	0	0	0	0	0	3	0.000204896
39778	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella dispar	0	0	1	4.87E-05	1	4.84E-05	0	0	2	0.00018442	2	0.000136597
39948	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Dialister	NA	0	0	1	4.87E-05	0	0	0	0	0	0	0	0
39950	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Dialister	Dialister pneumosintes	1	4.86E-05	3	0.000146195	4	0.000193682	1	5.60E-05	0	0	1	6.83E-05
39960	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter	Erythrobacter litoralis	0	0	1	4.87E-05	2	9.68E-05	3	0.000167997	3	0.000276631	0	0
40041	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus equi	9	0.000437618	15	0.000730975	13	0.000629465	8	0.000447992	34	0.003135146	36	0.002458754
40137	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Oligotropha	Oligotropha carboxidovorans	1	4.86E-05	0	0	0	0	0	0	0	0	0	0
40214	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter johnsonii	2	9.72E-05	11	0.000536048	1	4.84E-05	2	0.000111998	14	0.001290942	4	0.000273195
40215	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter junii	3	0.000145873	0	0	2	9.68E-05	0	0	4	0.000368841	1	6.83E-05
40216	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter radioresistens	0	0	3	0.000146195	2	9.68E-05	1	5.60E-05	2	0.00018442	5	0.000341494
40318	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces nodosus	3	0.000145873	1	4.87E-05	5	0.000242102	2	0.000111998	1	9.22E-05	0	0
40323	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	NA	7	0.000340369	9	0.000438585	13	0.000629465	9	0.000503991	5	0.000461051	3	0.000204896
40324	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia	56	0.002722955	46	0.002241656	78	0.003776792	35	0.001959966	38	0.003503987	40	0.002731949
40410	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans	24	0.001166981	6	0.00029239	8	0.000387363	13	0.000727987	5	0.000461051	3	0.000204896
40477	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma mycoides	6	0.000291745	6	0.00029239	3	0.000145261	3	0.000167997	19	0.001751993	24	0.00163917
40480	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma capricolum	3	0.000145873	3	0.000146195	4	0.000193682	3	0.000167997	10	0.000922102	16	0.00109278
40566	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinosynnema	NA	1	4.86E-05	3	0.000146195	4	0.000193682	4	0.000223996	12	0.001106522	17	0.001161078
40576	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Xenorhabdus	Xenorhabdus bovienii	6	0.000291745	5	0.000243658	5	0.000242102	3	0.000167997	1	9.22E-05	5	0.000341494
40754	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thioploca	Thioploca ingrica	2	9.72E-05	0	0	0	0	1	5.60E-05	0	0	1	6.83E-05
41170	Bacteria	Firmicutes	Bacilli	Bacillales	NA	Exiguobacterium	Exiguobacterium acetylicum	0	0	0	0	0	0	1	5.60E-05	3	0.000276631	4	0.000273195
41275	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	NA	6	0.000291745	12	0.00058478	8	0.000387363	14	0.000783987	10	0.000922102	3	0.000204896
41294	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	NA	NA	0	0	0	0	0	0	0	0	3	0.000276631	1	6.83E-05
41295	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	NA	NA	0	0	0	0	0	0	0	0	1	9.22E-05	0	0
41297	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA	1	4.86E-05	4	0.000194927	0	0	2	0.000111998	22	0.002028624	73	0.004985808
41431	Bacteria	Cyanobacteria	NA	Chroococcales	Aphanothecaceae	Rippkaea	Rippkaea orientalis	0	0	0	0	2	9.68E-05	1	5.60E-05	0	0	0	0
41673	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Acidianus	Acidianus brierleyi	0	0	0	0	0	0	0	0	7	0.000645471	2	0.000136597
41899	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia plantarii	2	9.72E-05	2	9.75E-05	3	0.000145261	9	0.000503991	7	0.000645471	28	0.001912365
41977	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Azoarcus	Azoarcus communis	1	4.86E-05	0	0	0	0	5	0.000279995	0	0	1	6.83E-05
42197	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinosynnema	Actinosynnema pretiosum	400	0.019449681	190	0.009259016	312	0.015107166	318	0.017807694	88	0.008114496	169	0.011542486
42239	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sampsonii	3	0.000145873	0	0	0	0	2	0.000111998	0	0	4	0.000273195
42253	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Nitrospira moscoviensis	0	0	3	0.000146195	0	0	5	0.000279995	0	0	0	0
42256	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteraceae	Rubrobacter	Rubrobacter radiotolerans	1	4.86E-05	0	0	0	0	0	0	0	0	1	6.83E-05
42683	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Chlorovirus	Paramecium bursaria Chlorella virus A1	0	0	0	0	0	0	1	5.60E-05	0	0	0	0
43080	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus	3	0.000145873	0	0	3	0.000145261	2	0.000111998	0	0	0	0
43263	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas alcaligenes	0	0	0	0	0	0	0	0	0	0	2	0.000136597
43306	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas denitrificans (nom. rej.)	0	0	0	0	3	0.000145261	1	5.60E-05	0	0	0	0
43348	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium branderi	0	0	0	0	0	0	0	0	0	0	1	6.83E-05
43657	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas luteoviolacea	1	4.86E-05	2	9.75E-05	0	0	1	5.60E-05	0	0	1	6.83E-05
43658	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas rubra	2	9.72E-05	1	4.87E-05	3	0.000145261	4	0.000223996	0	0	0	0
43659	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas tetraodonis	1	4.86E-05	0	0	0	0	0	0	1	9.22E-05	5	0.000341494
43661	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella benthica	0	0	0	0	0	0	0	0	0	0	4	0.000273195
43662	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas piscicida	0	0	0	0	1	4.84E-05	0	0	3	0.000276631	1	6.83E-05
43668	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermabacteraceae	Brachybacterium	NA	0	0	2	9.75E-05	0	0	1	5.60E-05	3	0.000276631	4	0.000273195
43674	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Jonesiaceae	Jonesia	Jonesia denitrificans	0	0	0	0	0	0	0	0	0	0	1	6.83E-05
43675	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	Rothia mucilaginosa	0	0	3	0.000146195	1	4.84E-05	3	0.000167997	12	0.001106522	4	0.000273195
43767	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus hoagii	1	4.86E-05	0	0	0	0	0	0	6	0.000553261	15	0.001024481
43768	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium matruchotii	0	0	0	0	1	4.84E-05	0	0	2	0.00018442	7	0.000478091
43770	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium striatum	0	0	0	0	0	0	0	0	20	0.001844204	7	0.000478091
43989	Bacteria	Cyanobacteria	NA	Chroococcales	Aphanothecaceae	Crocosphaera	Crocosphaera subtropica	1	4.86E-05	0	0	1	4.84E-05	0	0	0	0	0	0
43990	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium segmentosum	2	9.72E-05	0	0	0	0	1	5.60E-05	87	0.008022285	13	0.000887884
44000	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Caldicellulosiruptor	NA	4	0.000194497	2	9.75E-05	2	9.68E-05	2	0.000111998	4	0.000368841	1	6.83E-05
44008	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus cecorum	6	0.000291745	1	4.87E-05	5	0.000242102	7	0.000391993	1	9.22E-05	1	6.83E-05
44010	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium conspicuum	7	0.000340369	5	0.000243658	6	0.000290522	3	0.000167997	2	0.00018442	5	0.000341494
44013	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter	NA	0	0	0	0	0	0	0	0	1	9.22E-05	0	0
44100	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma mycoides	0	0	0	0	0	0	0	0	1	9.22E-05	0	0
44139	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Thauera	Thauera aromatica	2	9.72E-05	5	0.000243658	7	0.000338943	7	0.000391993	0	0	5	0.000341494
44249	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	NA	6	0.000291745	9	0.000438585	18	0.000871567	13	0.000727987	10	0.000922102	21	0.001434273
44250	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus alvei	3	0.000145873	10	0.000487317	1	4.84E-05	1	5.60E-05	2	0.00018442	7	0.000478091
44251	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus durus	7	0.000340369	9	0.000438585	7	0.000338943	12	0.000671988	1	9.22E-05	5	0.000341494
44275	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira interrogans	0	0	0	0	0	0	0	0	0	0	7	0.000478091
44283	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella	Pasteurella multocida	425	0.020665286	459	0.022367832	419	0.02028815	386	0.021615628	399	0.03679186	412	0.028139078
44574	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas	Nitrosomonas communis	11	0.000534866	6	0.00029239	8	0.000387363	12	0.000671988	0	0	2	0.000136597
44577	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas	Nitrosomonas ureae	21	0.001021108	15	0.000730975	42	0.002033657	19	0.001063982	19	0.001751993	14	0.000956182
44688	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	1	4.86E-05	3	0.000146195	6	0.000290522	2	0.000111998	2	0.00018442	2	0.000136597
44742	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio fairfieldensis	52	0.002528459	29	0.001413218	38	0.001839975	42	0.00235196	21	0.001936414	46	0.003141742
45056	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella adelaidensis	0	0	1	4.87E-05	1	4.84E-05	0	0	0	0	0	0
45067	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella lansingensis	1	4.86E-05	1	4.87E-05	0	0	0	0	1	9.22E-05	0	0
45243	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga haemolytica	11	0.000534866	11	0.000536048	12	0.000581045	1	5.60E-05	7	0.000645471	9	0.000614689
45286	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Eremothecium	Eremothecium sinecaudum	8	0.000388994	3	0.000146195	2	9.68E-05	2	0.000111998	0	0	1	6.83E-05
45361	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma conjunctivae	19	0.00092386	7	0.000341122	8	0.000387363	11	0.000615989	29	0.002674095	31	0.002117261
45363	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma alkalescens	6	0.000291745	3	0.000146195	4	0.000193682	5	0.000279995	1	9.22E-05	4	0.000273195
45398	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces griseoviridis	6	0.000291745	5	0.000243658	12	0.000581045	21	0.00117598	14	0.001290942	16	0.00109278
45498	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter cholecystus	7	0.000340369	1	4.87E-05	1	4.84E-05	5	0.000279995	0	0	4	0.000273195
45634	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus cristatus	0	0	0	0	0	0	0	0	1	9.22E-05	0	0
45658	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio scophthalmi	0	0	0	0	0	0	0	0	1	9.22E-05	0	0
45668	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Halobacillus	Halobacillus litoralis	0	0	0	0	0	0	0	0	0	0	1	6.83E-05
45972	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus pasteuri	1	4.86E-05	0	0	1	4.84E-05	0	0	0	0	0	0
45989	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus	NA	1	4.86E-05	1	4.87E-05	0	0	1	5.60E-05	0	0	1	6.83E-05
46015	Viruses	NA	NA	NA	Baculoviridae	Alphabaculovirus	Autographa californica multiple nucleopolyhedrovirus	0	0	1	4.87E-05	0	0	1	5.60E-05	0	0	0	0
46126	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus chromogenes	0	0	0	0	0	0	0	0	1	9.22E-05	1	6.83E-05
46127	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus felis	0	0	2	9.75E-05	4	0.000193682	0	0	0	0	0	0
46170	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	1	4.86E-05	0	0	1	4.84E-05	1	5.60E-05	0	0	3	0.000204896
46234	Bacteria	Cyanobacteria	NA	Nostocales	Nostocaceae	Anabaena	Anabaena sp. 90	17	0.000826611	36	0.00175434	26	0.001258931	28	0.001567973	23	0.002120834	44	0.003005144
46239	Bacteria	Tenericutes	Mollicutes	Entomoplasmatales	Entomoplasmataceae	Mesoplasma	NA	1	4.86E-05	0	0	3	0.000145261	1	5.60E-05	5	0.000461051	4	0.000273195
46254	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Oenococcus	NA	1	4.86E-05	0	0	0	0	1	5.60E-05	0	0	0	0
46255	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	NA	0	0	0	0	0	0	1	5.60E-05	0	0	0	0
46541	Bacteria	Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae	Thermosipho	Thermosipho melanesiensis	3	0.000145873	6	0.00029239	5	0.000242102	5	0.000279995	3	0.000276631	2	0.000136597
46679	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas mucidolens	1	4.86E-05	1	4.87E-05	0	0	0	0	1	9.22E-05	2	0.000136597
