#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	SRR7796663.SE.profile	SRR7788533.SE.profile	SRR7788532.SE.profile	SRR7788531.SE.profile	SRR7788530.SE.profile	SRR7788529.SE.profile	SRR7788528.SE.profile	SRR7788527.SE.profile	SRR7788526.SE.profile	SRR7788525.SE.profile	SRR7788524.SE.profile	SRR7788523.SE.profile	SRR7788522.SE.profile	SRR7788521.SE.profile	SRR7788520.SE.profile	SRR7788519.SE.profile	SRR7788518.SE.profile	SRR7788517.SE.profile	SRR7788516.SE.profile	SRR7788515.SE.profile	SRR7788514.SE.profile	SRR7788513.SE.profile	SRR7638297.SE.profile	SRR7638296.SE.profile	SRR7638295.SE.profile	SRR7638294.SE.profile	SRR7638293.SE.profile	SRR7638292.SE.profile	SRR7638291.SE.profile	SRR7638290.SE.profile	SRR7638289.SE.profile	SRR7638288.SE.profile	SRR7638287.SE.profile	SRR7638286.SE.profile	SRR7638285.SE.profile	SRR7638284.SE.profile	SRR7638283.SE.profile	SRR7638282.SE.profile	SRR7638281.SE.profile	SRR7638280.SE.profile	SRR7638279.SE.profile	SRR7638278.SE.profile	SRR7638277.SE.profile	SRR5787585.SE.profile	SRR5787584.SE.profile	SRR5787583.SE.profile	SRR5787582.SE.profile	SRR5787581.SE.profile	SRR11059947.SE.profile	SRR11059946.SE.profile	SRR11059945.SE.profile	SRR11059944.SE.profile	SRR11059943.SE.profile	SRR11059942.SE.profile	SRR11059941.SE.profile	SRR11059940.SE.profile	SRR10152593.SE.profile	SRR10152588.SE.profile	SRR10152587.SE.profile	CRR125998.SE.profile	CRR125949.SE.profile	CRR125948.SE.profile	CRR125947.SE.profile	CRR125946.SE.profile	CRR125945.SE.profile	CRR125944.SE.profile	CRR125943.SE.profile	CRR125942.SE.profile
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_sp_oral_taxon_278	2|976|200643|171549|171551|836|712437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.76986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.41957	10.17538	0.00402	25.76174	0	0	0	0	0	0	0	0	0	0	0	6.05957	0	0	0	0	0	0	0	12.03774	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella	2|976|200643|171549|171552|1283313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.70937	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_rava	2|976|200643|171549|171552|1283313|671218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01821	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_tannerae	2|976|200643|171549|171552|1283313|76122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.69115	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	2|976|200643|171549|171552|838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.41957	10.17538	0.00402	25.56961	0	0	0	0	0	0	0	0	0	0	0	6.05957	0	0	0	0	0	0	0	10.32837	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_denticola	2|976|200643|171549|171552|838|28129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17429	0.1373	0.0015199999999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_histicola	2|976|200643|171549|171552|838|470565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31326	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9145	0	0	0	0	0	0	0	1.02253	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_jejuni	2|976|200643|171549|171552|838|1177574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.14508	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_melaninogenica	2|976|200643|171549|171552|838|28132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3848200000000002	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_nigrescens	2|976|200643|171549|171552|838|28133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.39697	6.38699	0	20.08748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_oris	2|976|200643|171549|171552|838|28135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84831	1.79365	0.0025	5.482130000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022269999999999998	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_oulorum	2|976|200643|171549|171552|838|28136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_pallens	2|976|200643|171549|171552|838|60133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9092	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_salivae	2|976|200643|171549|171552|838|228604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.96101	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_oral_taxon_306	2|976|200643|171549|171552|838|712461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32619000000000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02854	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.49207	0	9.08178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35808	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Tannerella	2|976|200643|171549|2005525|195950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.49207	0	9.08178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35808	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Tannerella|s__Tannerella_forsythia	2|976|200643|171549|2005525|195950|28112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35808	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Tannerella|s__Tannerella_sp_oral_taxon_HOT_286	2|976|200643|171549|2005525|195950|712710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.49207	0	9.08178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2|976|117743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.00602	3.7614900000000002	1.2578	0.66203	1.46213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.34474	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	2|976|117743|200644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.00602	3.7614900000000002	1.2578	0.66203	1.46213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.34474	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	2|976|117743|200644|49546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.00602	3.7614900000000002	1.2578	0.66203	1.46213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.34474	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga	2|976|117743|200644|49546|1016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.00602	3.7614900000000002	1.2578	0.66203	1.46213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.34474	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_gingivalis	2|976|117743|200644|49546|1016|1017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.4139	0.11260999999999999	0.053970000000000004	0	1.46213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.86296	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_granulosa	2|976|117743|200644|49546|1016|45242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.79932	0.97641	0.81658	0.65813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15830999999999998	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_leadbetteri	2|976|117743|200644|49546|1016|327575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.30268	1.47727	0.38724000000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0334	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_ochracea	2|976|117743|200644|49546|1016|1018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14493	0	0.0039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10597999999999999	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_sputigena	2|976|117743|200644|49546|1016|1019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4901200000000001	0.05028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18408	0
k__Bacteria|p__Firmicutes	2|1239	0	0	0	0	37.33271	5.13336	100.0	89.85645	0	76.42035	0	0	96.50189	0	0	0	0	0	100.0	0	0	100.0	84.72413	89.18814	7.06372	41.1924	0	100.0	83.72975	0	8.755189999999999	0	0	0	97.41620999999999	0	0	26.47914	100.0	0	100.0	100.0	0	39.53801	45.35355	52.5212	39.6827	76.04524	0	0	0	0	0	0	0	0	100.0	100.0	46.579390000000004	0	0	0	0	0	0	0	74.13653000000001	68.66127
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0	0	0	0	37.33271	5.13336	100.0	89.85645	0	76.42035	0	0	96.50189	0	0	0	0	0	100.0	0	0	100.0	84.72413	89.18814	7.06372	41.1924	0	100.0	83.72975	0	8.755189999999999	0	0	0	97.41620999999999	0	0	26.47914	100.0	0	100.0	100.0	0	30.85029	27.959670000000003	49.40155	10.47298	73.79706	0	0	0	0	0	0	0	0	100.0	100.0	46.579390000000004	0	0	0	0	0	0	0	66.05266999999999	68.66127
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0	0	0	0	37.33271	5.13336	0	0	0	0	0	0	14.4329	0	0	0	0	0	100.0	0	0	100.0	1.7964200000000001	0	7.06372	40.776720000000005	0	0	0	0	0	0	0	0	16.58991	0	0	0	0	0	100.0	100.0	0	7.22054	10.8774	7.777239999999999	3.54394	37.78144	0	0	0	0	0	0	0	0	100.0	100.0	13.905070000000002	0	0	0	0	0	0	0	1.89683	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified	2|1239|91061|1385|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.22054	10.8774	7.777239999999999	3.54394	37.78144	0	0	0	0	0	0	0	0	0	7.09611	9.04018	0	0	0	0	0	0	0	1.89683	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella	2|1239|91061|1385||1378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.22054	10.8774	7.777239999999999	3.54394	37.78144	0	0	0	0	0	0	0	0	0	7.09611	9.04018	0	0	0	0	0	0	0	1.89683	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_bergeri	2|1239|91061|1385||1378|84136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_haemolysans	2|1239|91061|1385||1378|1379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57941	3.5209699999999997	1.8470900000000001	1.86674	24.13052	0	0	0	0	0	0	0	0	0	4.27356	9.04018	0	0	0	0	0	0	0	0.56709	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_morbillorum	2|1239|91061|1385||1378|29391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.87168	6.1325199999999995	2.9544900000000003	1.6772	12.14794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026080000000000002	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_sanguinis	2|1239|91061|1385||1378|84135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76946	1.1926	2.97566	0	1.5029700000000001	0	0	0	0	0	0	0	0	0	2.8225599999999997	0	0	0	0	0	0	0	0	1.30366	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	2|1239|91061|1385|90964	0	0	0	0	37.33271	5.13336	0	0	0	0	0	0	14.4329	0	0	0	0	0	100.0	0	0	100.0	1.7964200000000001	0	7.06372	40.776720000000005	0	0	0	0	0	0	0	0	16.58991	0	0	0	0	0	100.0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	92.90389	4.86489	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	2|1239|91061|1385|90964|1279	0	0	0	0	37.33271	5.13336	0	0	0	0	0	0	14.4329	0	0	0	0	0	100.0	0	0	100.0	1.7964200000000001	0	7.06372	40.776720000000005	0	0	0	0	0	0	0	0	16.58991	0	0	0	0	0	100.0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	92.90389	4.86489	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_argenteus	2|1239|91061|1385|90964|1279|985002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_aureus	2|1239|91061|1385|90964|1279|1280	0	0	0	0	37.33271	5.13336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.06372	40.776720000000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	92.90389	4.86489	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_epidermidis	2|1239|91061|1385|90964|1279|1282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7964200000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_haemolyticus	2|1239|91061|1385|90964|1279|1283	0	0	0	0	0	0	0	0	0	0	0	0	14.4329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.58991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0	0	0	0	0	0	100.0	89.85645	0	76.42035	0	0	82.06899	0	0	0	0	0	0	0	0	0	82.92771	89.18814	0	0.41568	0	100.0	83.72975	0	8.755189999999999	0	0	0	80.8263	0	0	26.47914	100.0	0	0	0	0	23.62975	17.08227	41.624309999999994	6.92905	36.01562	0	0	0	0	0	0	0	0	0	0	32.67432	0	0	0	0	0	0	0	64.15584	68.66127
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae	2|1239|91061|186826|186827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64622	0.3946	0	0	1.91193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.66127
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Abiotrophia	2|1239|91061|186826|186827|46123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64622	0.3946	0	0	1.91193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.66127
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Abiotrophia|s__Abiotrophia_defectiva	2|1239|91061|186826|186827|46123|46125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5912	0.35106	0	0	0.45875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60.54902
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Abiotrophia|s__Abiotrophia_sp_HMSC24B09	2|1239|91061|186826|186827|46123|1581061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.055020000000000006	0.04355	0	0	1.45318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.11224
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	2|1239|91061|186826|186828	0	0	0	0	0	0	0	0	0	0	0	0	0.0193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03973	0	0	0	0	0	0	0	0	0.05661	0.21572	0.14995	0	2.11821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6285	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Alkalibacterium	2|1239|91061|186826|186828|99906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Alkalibacterium|s__Alkalibacterium_thalassium	2|1239|91061|186826|186828|99906|426701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella	2|1239|91061|186826|186828|117563	0	0	0	0	0	0	0	0	0	0	0	0	0.0193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03973	0	0	0	0	0	0	0	0	0.05661	0.21572	0.14995	0	2.0573599999999996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6285	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella|s__Granulicatella_elegans	2|1239|91061|186826|186828|117563|137732	0	0	0	0	0	0	0	0	0	0	0	0	0.0193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03973	0	0	0	0	0	0	0	0	0.05661	0.21572	0.14995	0	2.0573599999999996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6285	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	0	0	0	0	0	0	0	0	0	76.42035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83.72975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
